Name: 民视第一, URL: https://4gtvmobile-mozai.4gtv.tv/Y_vBMBHwLGsp4KBRTayPtRFIRBfgU33HBCAYhZtienw%3d/index.m3u8?token=_9mJZ3x6HQ3K8YJhJzV8sQ&expires=1763640035&token1=MrhW7OCOjt24ZuVfqCaKrg&expires1=1763640035&refer=NDI0MjRkMTItOGE1Yi00NTkyLWI1ODMtZGRjNzMxMGFjZTZi&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视台湾, URL: https://4gtvmobile-mozai.4gtv.tv/3GSLDgyDEAZu05ndVEYlYJUuqswGex8RVfcgyUTmnkY%3d/index.m3u8?token=hQ8fi5oOD7lYI7UWj1rHRA&expires=1763640043&token1=76M_hJQDPDFuhRBihdnT-w&expires1=1763640043&refer=ZDdhMTdmMzMtNTU3Ny00MjA4LWEwZjctMmFhZDMwOGNkODQ1&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视新闻, URL: https://4gtvmobile-mozai.4gtv.tv/AojXeysTQkCj3LVHlPcODHCtQfDNy_2EOzSoMAJQ1fE%3d/index.m3u8?token=UiKv_aVm_XE7vG_NUbKKeQ&expires=1763640335&token1=i5Kz50Brs0vaMVMb7mTYzA&expires1=1763640335&refer=YTc1NWMwMmYtMDY5Yi00YTA4LThhMGYtODQyOTEwODM1YjE1&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视电视台, URL: https://4gtvmobile-mozai.4gtv.tv/hsWMLBCk10yXLoelJ4X8QhLQjhX6uyGsp45Tsf3jSY4%3d/index.m3u8?token=OZdJFbS7bDI4-9waznszXA&expires=1763640051&token1=0-iKxj_dLJux_iBD52Px9w&expires1=1763640051&refer=YjAwOGJkZDEtMzcwMy00MTExLTg1MmEtYTYyYTI3M2U3ZjAw&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视新闻, URL: http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8, From: subscribe, IPv_Type: ipv4, Location: 美国-加利福尼亚州-洛杉矶, ISP: Cogent, Date: None, Delay: 928 ms, Speed: 1.22 M/s, Resolution: 1920x1080
Name: 民视新闻, URL: http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8, From: subscribe, IPv_Type: ipv4, Location: 美国-加利福尼亚州-洛杉矶, ISP: Cogent, Date: None, Delay: 1075 ms, Speed: 1.13 M/s, Resolution: 1920x1080
Name: 民视影剧, URL: https://4gtvmobile-mozai.4gtv.tv/TIH0vlcY-0xb4w7061_CbCLK3AxJgImLlh1G2TKbe54%3d/index.m3u8?token=OkZJ_t839cPTHoxC9fAHvg&expires=1763640753&token1=WVjZy6wwBMBDPY4KVF261w&expires1=1763640753&refer=OWJlNzgxZWYtYmIyYy00NTQwLWJkNjMtYjYxMjM4M2I0ZGU3&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视旅游, URL: https://4gtvmobile-mozai.4gtv.tv/fMfghDe5FZnJRswAXHGvNhy1zqFPIidKnBHBLaMQVTU%3d/index.m3u8?token=z-Lj-eymxqPBKI9tZ5meiQ&expires=1763640653&token1=1xZYNTeWuQjjNkp5jFAXUA&expires1=1763640653&refer=MTk1OWQ0ZTQtM2ZkOS00YjFkLWIzYzctNDkzNTE3MmFhN2Ri&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视综艺, URL: https://4gtvmobile-mozai.4gtv.tv/RfcIw2KXlP5G9SCtfTpZ8W2tQNhVivKhekGsNNUfcNE%3d/index.m3u8?token=X1lB0R46eeHuORsKU0PR9g&expires=1763640443&token1=DjDUK_AowDqv7aieFkJJcg&expires1=1763640443&refer=NDYxYjEwOTUtZWFiZS00YmMzLWEzOTctOTIxYzRlMGRmNzZl&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 中视, URL: https://4gtvmobile-mozai.4gtv.tv/kD_j8Pjn2l7Z-dpdaFC483iqAAAJ0TxhR3qGJfwglpg%3d/index.m3u8?token=cSYz6Oir6mFdIFHk4gcKDw&expires=1763640068&token1=y6E4j9_WqhTnAAj-IZZamg&expires1=1763640068&refer=ZjY3NzFiOWQtN2VlMC00YjQwLWIwYWMtMWRkNDllZmNjZDM4&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视新闻, URL: https://4gtvmobile-mozai.4gtv.tv/z9Hrf7rjnARiDHfds9VPNRmelztsmpmQiOtADStqqBc%3d/index.m3u8?token=GM_953jGmaCu8lTd3wL3hA&expires=1763726759&token1=vcQLJOOcq7Mdj9iWoIjqJQ&expires1=1763726759&refer=NzgwYzk1NTMtNjdhOC00ZjdlLWE1YWQtMTk1NmJkODAxOWQz&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: 1386 ms, Speed: 0.59 M/s, Resolution: None
Name: 民视台湾, URL: https://4gtvmobile-mozai.4gtv.tv/uCIszUAEwKplAshvVNb_Xyp4tjLmquVi1DNFyy-jPBw%3d/index.m3u8?token=9TuMLYm-crv-Po6ZJW6g_Q&expires=1763726452&token1=AfONTZsvLzsTUW1PLRZ9MA&expires1=1763726452&refer=MWFjNTJkMTgtMTgxNC00MjJmLTgyZWQtOWMyNmEyYmYxZDQz&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: 1468 ms, Speed: 1.34 M/s, Resolution: None
Name: 民视电视台, URL: https://4gtvmobile-mozai.4gtv.tv/7s5z6PdbwO2OXJNNsLKUyK5nHZ3eaQjwh--sy-SjIZI%3d/index.m3u8?token=Y0U3owb7G3Rmp_jIzVvdsw&expires=1763726461&token1=cUJexC7vOoNU7mWHtLu-SA&expires1=1763726461&refer=MzU5ZWYwOGQtMWUyZS00NjBkLWE5MjMtZGJlYzMzODA2ZGEw&y=0, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: CloudFlare节点, Date: None, Delay: 1461 ms, Speed: 1.84 M/s, Resolution: None
